symbol,sig_id,time,entry_price,obi_dir,tps,window,entropy,signal_duration_s,exit_reason,mfe_intra,t1s,t5s,t10s,t30s,t60s,t120s,t300s,t600s,t1200s,t1800s
ETHUSDT,1,07:44:05,2031.285,sell,21.7,300,0.5574,0.8,entropy_normalized,0.0101,0.0185,0.018,0.0254,0.0313,0.0898,0.0111,0.2021,0.0977,0.2425,0.2759
ETHUSDT,2,07:44:11,2031.065,sell,23.1,300,0.5754,9.2,entropy_normalized,0.0229,-0.0002,0.0224,0.017,0.019,0.0854,0.0037,0.2144,0.0997,0.2262,0.2651
ETHUSDT,3,07:45:12,2029.335,buy,22.1,300,0.5099,5.8,entropy_normalized,0.0052,-0.0002,-0.0017,0.019,0.0717,0.0816,0.0116,-0.1156,0.014,-0.1427,-0.0811
BTCUSDT,1,07:47:17,74591.595,sell,17.4,300,0.6098,6.8,entropy_normalized,0.0,0.0,-0.0002,-0.0059,-0.0059,0.0326,0.0742,0.0909,0.1462,0.216,0.0442
ETHUSDT,4,07:47:18,2028.685,sell,15.5,300,0.4999,10.1,entropy_normalized,0.0067,0.0002,-0.0007,-0.0007,0.0067,0.0436,0.0875,0.0165,0.0441,0.1767,-0.0707
ETHUSDT,5,07:47:59,2027.415,sell,19.1,300,0.7351,0.6,entropy_normalized,0.0002,0.0002,-0.0254,-0.0249,-0.0185,-0.019,0.015,-0.0649,-0.016,0.1206,-0.1147
ETHUSDT,6,07:49:07,2026.715,sell,23.4,300,0.6014,10.6,entropy_normalized,0.0002,-0.0002,-0.0002,-0.0002,0.0121,-0.0136,-0.0422,-0.1275,0.0377,0.1206,-0.09
BTCUSDT,2,07:49:13,74536.255,buy,14.0,300,0.6944,5.2,entropy_normalized,0.0,-0.0,0.0,0.0068,0.0002,-0.002,-0.0142,-0.013,-0.134,-0.1308,-0.0178
BTCUSDT,3,07:49:48,74548.005,sell,19.7,300,0.7351,1.3,entropy_normalized,0.0,0.0,0.0,0.0078,0.0185,0.0429,0.0417,0.0376,0.1742,0.1539,0.0657
ETHUSDT,7,07:51:23,2028.455,buy,15.8,300,0.7084,2.0,entropy_normalized,0.0002,-0.0002,-0.0205,-0.0308,-0.0229,0.0131,0.0071,-0.0865,-0.1871,-0.1432,-0.1122
BTCUSDT,4,07:52:26,74534.985,sell,11.5,300,0.65,2.9,entropy_normalized,-0.0,-0.0,0.0,0.0,-0.0,0.0113,0.015,0.0535,0.1466,0.1103,0.1462
ETHUSDT,8,07:57:03,2028.245,buy,15.9,300,0.6263,2.9,entropy_normalized,0.0027,0.0027,-0.0313,-0.0367,0.0002,-0.0402,-0.1127,-0.1802,-0.2073,0.0466,-0.404
ETHUSDT,9,07:58:37,2026.615,buy,11.1,300,0.6653,2.3,entropy_normalized,-0.0002,-0.0002,-0.0002,-0.0299,-0.0328,-0.0767,-0.1636,-0.0141,-0.0915,0.1004,-0.3417
ETHUSDT,10,07:58:48,2025.805,sell,13.1,300,0.7015,3.0,entropy_normalized,0.0002,0.0002,-0.0002,-0.0007,-0.0062,0.0368,0.0615,-0.0264,0.0521,-0.1404,0.329
BTCUSDT,5,07:59:29,74422.185,buy,11.8,300,0.6181,5.1,entropy_normalized,0.0,0.0,0.0,-0.0,-0.0054,-0.0652,-0.0137,0.0637,0.0223,0.1135,-0.1786
ETHUSDT,11,08:00:35,2023.175,sell,19.0,300,0.7015,0.4,entropy_normalized,-0.0002,-0.0062,-0.0447,-0.0694,-0.1293,-0.0917,-0.1342,-0.0991,-0.1129,-0.2469,0.1698
ETHUSDT,12,08:00:47,2024.575,buy,29.6,300,0.6422,4.2,entropy_normalized,0.0002,-0.0002,0.0072,0.0042,0.022,0.0403,0.103,0.0324,0.0694,0.1771,-0.2492
ETHUSDT,13,08:01:09,2025.785,sell,18.1,300,0.6873,4.0,entropy_normalized,0.0002,-0.0002,0.0032,0.0378,0.0313,0.0383,-0.017,0.0432,0.0126,-0.0353,0.3028
ETHUSDT,14,08:02:57,2026.885,sell,11.8,300,0.6181,1.9,entropy_normalized,0.0101,-0.0002,0.0234,0.0372,0.0269,0.0269,0.017,0.095,0.0407,0.2371,0.1946
ETHUSDT,15,08:05:56,2024.115,sell,19.2,300,0.7285,3.9,entropy_normalized,0.0002,0.0002,-0.0002,-0.0146,-0.0032,-0.019,-0.0417,-0.106,-0.2329,0.1672,0.2097
BTCUSDT,6,08:08:50,74444.005,sell,18.6,300,0.7084,9.1,entropy_normalized,0.0,-0.0,-0.0,-0.0,0.0071,0.0144,-0.0357,0.0167,-0.1063,0.2242,0.2266
ETHUSDT,16,08:10:36,2025.455,buy,23.2,300,0.7219,8.9,entropy_normalized,0.016,0.0002,0.016,0.016,0.0042,0.0042,0.0042,0.1281,0.134,-0.2822,-0.1775
BTCUSDT,7,08:15:01,74455.145,sell,10.1,300,0.5842,23.1,entropy_normalized,0.0,0.0,-0.0241,-0.0241,-0.0432,-0.0723,-0.0774,-0.0817,0.1688,0.2084,0.1041
BTCUSDT,8,08:15:44,74513.875,sell,23.2,300,0.6801,10.6,entropy_normalized,0.0,-0.0,0.0,0.0,0.0008,0.0097,-0.0451,0.015,0.3157,0.2873,0.1175
ETHUSDT,17,08:15:49,2029.185,buy,16.1,300,0.7415,2.5,entropy_normalized,0.0002,-0.0002,-0.0175,-0.018,-0.0002,0.0052,0.0091,-0.051,-0.5078,-0.4196,-0.26
ETHUSDT,18,08:16:43,2029.185,buy,11.0,300,0.6653,8.3,entropy_normalized,0.0052,0.0047,0.0047,0.0047,0.0229,-0.0057,-0.0328,-0.187,-0.4674,-0.4265,-0.2112
BTCUSDT,9,08:16:47,74506.665,buy,15.4,300,0.6343,9.7,entropy_normalized,0.0082,0.0,0.0003,0.0082,0.0697,0.0683,0.0217,-0.1211,-0.3051,-0.3109,-0.0775
ETHUSDT,19,08:17:22,2030.115,sell,11.6,300,0.7351,2.4,entropy_normalized,0.0002,0.0002,-0.0012,0.0387,0.0165,0.0731,0.081,0.2254,0.5401,0.4667,0.2559
BTCUSDT,10,08:18:44,74522.795,buy,11.0,300,0.7415,3.0,entropy_normalized,0.0,-0.0,0.0002,0.0049,0.0002,-0.0319,-0.027,-0.2449,-0.3392,-0.3321,-0.0613
BTCUSDT,11,08:21:05,74452.005,sell,28.1,300,0.4583,0.8,entropy_normalized,0.0,0.0,-0.0,0.0,0.0499,0.0291,0.1664,0.223,0.1853,0.1851,-0.0337
ETHUSDT,20,08:21:06,2026.505,buy,20.5,300,0.5482,35.0,entropy_normalized,0.0002,-0.0002,-0.0002,-0.016,-0.0624,-0.0303,-0.1962,-0.3417,-0.3412,-0.2297,-0.0748
ETHUSDT,21,08:22:44,2022.665,buy,62.0,300,0.5665,4.8,entropy_normalized,0.0002,-0.0002,-0.0675,-0.0279,0.0195,0.0136,0.0062,-0.1644,-0.0057,-0.0986,-0.0917
BTCUSDT,12,08:23:39,74340.255,sell,14.6,300,0.5754,4.8,entropy_normalized,0.0,0.0,-0.0,0.0189,0.024,0.0045,0.0791,0.0945,0.0043,0.0192,-0.0306
ETHUSDT,22,08:25:05,2021.135,sell,32.2,300,0.6263,5.1,entropy_normalized,-0.0002,-0.0002,-0.02,-0.0324,0.0289,0.0438,0.0532,0.071,0.0082,-0.0532,-0.1393
BTCUSDT,13,08:25:48,74249.475,sell,102.8,300,0.5099,0.8,entropy_normalized,0.0038,0.0038,-0.0254,-0.0492,-0.0167,-0.0403,-0.0365,-0.0935,-0.0677,-0.2382,-0.2357
BTCUSDT,14,08:25:58,74286.005,sell,41.5,300,0.6727,5.8,entropy_normalized,0.0,-0.0,-0.0,0.0269,0.0,0.0089,0.0126,-0.0377,0.0079,-0.1889,-0.1864
BTCUSDT,15,08:26:29,74292.005,buy,25.7,300,0.5574,2.4,entropy_normalized,0.0,0.0,-0.0081,-0.017,-0.017,-0.0624,-0.0242,0.0296,-0.0197,0.2225,0.199
BTCUSDT,16,08:27:12,74250.225,sell,18.3,300,0.7478,0.2,entropy_normalized,-0.0,-0.0,-0.0,-0.0044,-0.0151,-0.0055,-0.0314,-0.1612,-0.0379,-0.2741,-0.2662
