symbol,sig_id,time,entry_price,obi_dir,tps,window,entropy,signal_duration_s,exit_reason,mfe_intra,t1s,t5s,t10s,t30s,t60s,t120s,t300s,t600s,t1200s,t1800s
ETHUSDT,1,22:43:30,2055.005,sell,51.6,300,0.7285,1.7,entropy_normalized,0.01,-0.0022,-0.0056,0.0382,0.0869,0.0927,-0.081,-0.2192,-0.373,-0.7204,-0.3998
ETHUSDT,2,22:43:35,2055.115,sell,40.8,300,0.7285,0.8,entropy_normalized,-0.0002,-0.0002,0.0489,0.0499,0.0158,0.1511,-0.0484,-0.209,-0.3696,-0.7501,-0.3939
ETHUSDT,3,22:43:54,2052.545,sell,30.7,300,0.6727,0.5,entropy_normalized,0.0002,-0.0178,-0.047,-0.0465,-0.0699,-0.0207,-0.2585,-0.3398,-0.5162,-0.7905,-0.4879
BTCUSDT,1,22:43:59,74895.835,sell,58.4,300,0.6343,3.1,entropy_normalized,0.0,0.0,-0.0128,-0.0453,-0.0282,-0.0436,-0.1124,-0.1238,-0.1759,-0.4271,-0.1658
ETHUSDT,4,22:46:09,2058.895,buy,85.6,300,0.5482,6.8,entropy_normalized,0.0017,0.0012,-0.0027,-0.0061,-0.0546,-0.0896,-0.0002,0.061,0.1688,0.4417,0.1328
BTCUSDT,2,22:47:00,74890.005,sell,31.0,300,0.7015,3.5,entropy_normalized,-0.0,-0.0107,-0.0464,-0.0401,-0.0328,-0.0408,-0.1223,-0.1679,-0.1309,-0.2934,-0.2403
ETHUSDT,5,22:47:07,2057.245,sell,34.1,300,0.7415,1.8,entropy_normalized,0.0095,-0.0002,0.0547,0.0809,0.0518,-0.0464,-0.0527,-0.2705,-0.2637,-0.534,-0.3143
ETHUSDT,6,22:48:05,2058.195,buy,24.5,300,0.6873,4.7,entropy_normalized,0.0343,0.0002,0.0148,0.0231,0.0585,0.0148,-0.0032,0.3195,0.2801,0.3948,0.2699
BTCUSDT,3,22:48:08,74984.095,buy,58.1,300,0.5389,1.5,entropy_normalized,0.001,0.001,-0.0055,-0.0119,-0.0087,-0.0199,-0.027,0.073,0.0576,0.0559,0.0768
BTCUSDT,4,22:48:22,74989.585,buy,27.3,300,0.4795,1.0,entropy_normalized,0.0058,0.0058,-0.0014,-0.0076,-0.0186,-0.0417,-0.1471,0.0572,0.0605,0.0592,0.0699
