symbol,time,entry_price,obi_dir,tps,window,entropy,exit_reason,duration_s,mfe_pct,mae_pct,dir_correct,move_t1s,move_t5s,move_t10s,move_t20s,move_t30s,move_t60s
ETHUSDT,22:09:29,2122.865,sell,8.97,269,0.3534,entropy_normalized,2.9,-0.0002,-0.0002,,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
BTCUSDT,22:09:34,77071.275,sell,16.42,300,0.4635,entropy_normalized,4.8,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BTCUSDT,22:09:53,77067.265,sell,5.44,163,0.7388,entropy_normalized,3.7,0.0,-0.0,,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BTCUSDT,22:10:44,77084.005,sell,2.93,87,0.6632,entropy_normalized,11.8,0.0037,-0.0019,,-0.0,-0.0018,-0.0019,0.0037,0.0037,0.0037
BTCUSDT,22:11:35,77061.135,sell,2.07,62,0.8474,entropy_normalized,0.3,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BTCUSDT,22:11:36,77061.135,sell,2.21,66,0.8454,entropy_normalized,1.0,0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ETHUSDT,22:11:28,2122.085,sell,4.19,125,0.3733,entropy_normalized,9.8,0.0002,-0.0002,,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
BTCUSDT,22:11:37,77061.135,sell,2.66,79,0.8354,entropy_normalized,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ETHUSDT,22:12:45,2122.595,buy,1.92,57,0.7746,entropy_normalized,1.3,-0.0002,-0.0002,,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
SOLUSDT,22:12:35,85.265,sell,2.32,69,0.597,entropy_normalized,18.2,0.0059,-0.0176,,0.0059,0.0059,-0.0059,-0.0059,-0.0059,-0.0059
BTCUSDT,22:12:50,77059.385,buy,3.61,108,0.8393,entropy_normalized,9.0,0.0,-0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
ETHUSDT,22:12:49,2122.595,buy,2.21,66,0.799,entropy_normalized,16.8,0.0002,-0.012,,-0.0002,-0.0002,-0.0002,-0.012,-0.012,-0.012
BTCUSDT,22:13:00,77059.385,buy,1.68,50,0.795,entropy_normalized,11.0,0.0,-0.0,,0.0,0.0,-0.0,-0.0,-0.0,-0.0
SOLUSDT,22:14:29,85.285,sell,2.24,67,0.7098,entropy_normalized,5.7,0.0059,-0.0059,,0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059
BTCUSDT,22:14:10,77077.375,buy,5.55,166,0.6262,entropy_normalized,36.3,0.0122,-0.0,True,-0.0,0.0,-0.0,0.0122,0.0122,0.0122
BTCUSDT,22:14:48,77086.735,buy,3.27,98,0.8031,entropy_normalized,4.3,0.0,-0.0,,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BTCUSDT,22:15:16,77091.205,sell,3.4,101,0.7562,entropy_normalized,5.7,0.002,-0.0,,-0.0,-0.0,0.002,0.002,0.002,0.002
ETHUSDT,22:15:36,2122.695,buy,2.86,85,0.6172,entropy_normalized,1.3,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
ETHUSDT,22:15:38,2122.695,buy,3.5,105,0.8366,entropy_normalized,1.3,-0.0002,-0.0002,,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
BTCUSDT,22:15:52,77080.385,sell,3.51,105,0.6388,entropy_normalized,5.4,0.0,-0.0,,-0.0,0.0,0.0,0.0,0.0,0.0
BTCUSDT,22:16:02,77080.385,sell,2.34,70,0.8435,entropy_normalized,0.2,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BTCUSDT,22:16:09,77066.455,sell,12.92,300,0.6727,entropy_normalized,13.1,0.0,-0.0,,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BTCUSDT,22:16:36,77066.455,sell,1.63,48,0.8427,entropy_normalized,0.4,0.0,-0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ETHUSDT,22:16:19,2122.095,buy,4.88,146,0.8058,entropy_normalized,34.1,0.0002,-0.02,False,-0.0002,0.0002,0.0002,-0.0196,-0.02,-0.0196
SOLUSDT,22:17:00,85.255,sell,3.52,105,0.8366,entropy_normalized,1.3,-0.0059,-0.0059,,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059
